"Date","Home","HG","HxGtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","HxGpPlayer xGoals","Away","AG","AxGtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","AxGpPlayer xGoals","GDGoal Difference (Own goals excluded.)","xGDtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","xGDpPlayer xGoals","FinalFinal Score (Own goals included.)","HxPtsExpected points earned, given the same sample of shots over 1,000 simulations.","AxPtsExpected points earned, given the same sample of shots over 1,000 simulations."
"2018-09-15","COL","0","1.2704","1.2714","ATL","3","1.7165","1.7165","-3","-0.4461","-0.4452","-3","1.032","1.695"
"2018-09-15","VAN","1","2.5697","2.5702","SEA","2","1.1616","1.1616","-1","1.4081","1.4086","-1","2.334","0.465"
"2018-09-15","SJE","1","1.2627","1.2798","SKC","5","3.1119","3.1553","-4","-1.8492","-1.8755","-4","0.365","2.507"
"2018-09-15","LAFC","1","1.2833","1.2977","NER","1","1.278","1.281","0","0.0053","0.0167","0","1.384","1.342"
"2018-09-15","TOR","5","2.1016","2.1055","LAG","3","1.4794","1.4794","2","0.6222","0.6261","2","1.794","1.005"
"2018-09-15","PHI","1","0.4662","0.4662","MTL","4","2.3769","2.4072","-3","-1.9107","-1.941","-3","0.222","2.658"
"2018-09-15","FCD","0","0.3406","0.3417","CLB","0","0.9117","0.9175","0","-0.5711","-0.5758","0","0.786","1.845"
"2018-09-15","HOU","4","2.8284","2.9092","POR","0","1.0597","1.0597","4","1.7686","1.8495","3","2.626","0.244"
"2018-09-12","DCU","2","1.6101","1.6138","MIN","1","1.6071","1.6822","1","0.003","-0.0684","1","1.34","1.406"
"2018-09-08","SKC","1","1.1006","1.1006","ORL","0","0.8361","0.8361","1","0.2645","0.2645","1","1.596","1.095"
"2018-09-08","NYC","1","2.3267","2.3384","DCU","1","0.585","0.585","0","1.7417","1.7535","0","2.546","0.302"
"2018-09-08","POR","2","3.3867","3.3867","COL","0","0.457","0.457","2","2.9297","2.9297","2","2.91","0.051"
"2018-09-05","NYC","0","2.2344","2.2471","NER","1","1.4345","1.4659","-1","0.8","0.7811","-1","1.924","0.865"
"2018-09-02","DCU","3","2.1011","2.1011","ATL","1","3.0488","3.1125","2","-0.9477","-1.0114","2","0.9","1.908"
"2018-09-01","TOR","2","2.3296","2.3296","LAFC","4","1.6286","1.6624","-2","0.7009","0.6672","-2","1.94","0.854"
"2018-09-01","VAN","2","2.058","2.0601","SJE","1","0.9002","0.917","1","1.1578","1.1431","1","2.21","0.572"
"2018-09-01","RSL","6","2.8017","2.909","LAG","2","1.2335","1.2335","4","1.5682","1.6756","4","2.378","0.476"
"2018-09-01","MTL","3","1.7866","1.791","NYRB","0","0.3553","0.3553","3","1.4312","1.4357","3","2.491","0.331"
"2018-09-01","CLB","2","2.4514","2.4775","NYC","1","0.6142","0.6142","1","1.8372","1.8633","1","2.547","0.312"
"2018-09-01","SEA","2","1.9988","2.0445","SKC","1","2.1748","2.2001","1","-0.176","-0.1556","2","1.301","1.439"
"2018-09-01","NER","1","1.7874","2.0204","POR","1","0.3206","0.3206","0","1.4668","1.6998","0","2.57","0.266"
"2018-09-01","ORL","2","0.816","0.816","PHI","2","2.0513","2.0543","0","-1.2353","-1.2383","0","0.564","2.229"
"2018-09-01","FCD","4","2.3528","2.4087","HOU","2","1.3315","1.3315","2","1.0213","1.0772","2","2.13","0.657"
"2018-08-29","DCU","0","0.628","0.628","PHI","2","1.4575","1.5294","-2","-0.8295","-0.9015","-2","0.65","2.081"
"2018-08-29","NYRB","1","1.4176","1.4176","HOU","0","0.791","0.791","1","0.6265","0.6265","1","1.986","0.726"
"2018-08-29","SJE","4","1.4271","1.4271","FCD","3","1.9459","1.9507","1","-0.5188","-0.5236","1","0.932","1.778"
"2018-08-29","POR","2","1.6454","1.6454","TOR","0","0.7479","0.7504","2","0.8975","0.8951","2","2.015","0.704"
"2018-08-26","NYRB","1","1.6613","1.6613","DCU","0","1.7215","1.9592","1","-0.0602","-0.2979","1","1.376","1.37"
"2018-08-26","POR","0","1.0916","1.0934","SEA","0","0.6101","0.6101","0","0.4814","0.4832","-1","1.746","0.945"
"2018-08-25","COL","0","0.1946","0.1946","RSL","6","3.5042","3.6291","-6","-3.3095","-3.4344","-6","0.04","2.938"
"2018-08-25","PHI","1","2.2276","2.2464","NER","0","0.4187","0.4187","1","1.8089","1.8278","1","2.681","0.209"
"2018-08-25","SJE","2","1.6088","1.626","VAN","3","1.417","1.4178","-1","0.1918","0.2082","-1","1.499","1.184"
"2018-08-25","SKC","2","0.5431","0.5431","MIN","0","1.6068","1.6186","2","-1.0638","-1.0755","2","0.57","2.193"
"2018-08-25","TOR","3","1.527","1.527","MTL","1","1.1101","1.1106","2","0.4169","0.4164","2","1.659","1.083"
"2018-08-24","ORL","1","0.2274","0.2274","ATL","2","3.2269","3.6734","-1","-2.9995","-3.446","-1","0.059","2.894"
"2018-08-24","LAG","1","1.0151","1.0234","LAFC","1","1.6411","1.6411","0","-0.626","-0.6176","0","0.833","1.895"
