"Date","Home","HG","HxGtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","HxGpPlayer xGoals","Away","AG","AxGtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","AxGpPlayer xGoals","GDGoal Difference (Own goals excluded.)","xGDtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","xGDpPlayer xGoals","FinalFinal Score (Own goals included.)","HxPtsExpected points earned, given the same sample of shots over 1,000 simulations.","AxPtsExpected points earned, given the same sample of shots over 1,000 simulations."
"2019-04-24","SEA","2","1.3905","1.4092","SJE","2","1.7201","1.7204","0","-0.3296","-0.3112","0","1.077","1.68"
"2019-04-27","FCD","0","0.6337","0.6382","SJE","0","0.9461","0.9923","0","-0.3124","-0.3541","0","0.995","1.649"
"2019-04-27","NYC","1","1.4304","1.4724","ORL","1","0.6026","0.6026","0","0.8278","0.8699","0","2.006","0.719"
"2019-04-27","TOR","1","1.1015","1.1495","POR","2","1.1125","1.1125","-1","-0.011","0.0371","-1","1.354","1.318"
"2019-04-27","VAN","1","0.9818","0.9818","PHI","1","0.7793","0.7793","0","0.2025","0.2025","0","1.507","1.156"
"2019-04-27","ATL","1","1.299","1.299","COL","0","0.519","0.519","1","0.7801","0.7801","1","2.005","0.688"
"2019-04-27","NYRB","1","1.1627","1.1627","CIN","0","0.5396","0.5396","1","0.623","0.623","1","1.852","0.85"
"2019-04-27","HOU","2","2.3434","2.3806","CLB","0","1.0352","1.0352","2","1.3083","1.3454","2","2.267","0.569"
"2019-04-27","SKC","4","3.8934","4.0877","NER","4","3.713","4.0112","0","0.1804","0.0765","0","1.507","1.273"
"2019-04-28","SEA","1","0.472","0.472","LAFC","1","3.8807","3.895","0","-3.4087","-3.4229","0","0.029","2.951"
"2019-04-28","MIN","1","0.9208","0.9208","DCU","0","0.5805","0.5811","1","0.3403","0.3397","1","1.68","0.981"
"2019-04-28","MTL","1","0.9262","0.9264","CHI","0","0.7942","0.9798","1","0.132","-0.0534","1","1.521","1.143"
"2019-04-28","LAG","2","1.8309","1.8328","RSL","1","1.3677","1.3849","1","0.4632","0.4479","1","1.764","0.981"
"2019-05-01","PHI","2","2.5059","2.5981","CIN","0","1.0376","1.042","2","1.4683","1.5562","2","2.301","0.525"
"2019-05-03","COL","2","2.4211","2.5641","VAN","3","1.6804","1.6937","-1","0.7406","0.8704","-1","1.904","0.83"
"2019-05-04","PHI","6","2.818","3.0279","NER","1","2.5297","2.9102","5","0.2883","0.1177","5","1.523","1.253"
